station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
AIR;01.11.1883 00:00;29.9;14;
AIR;01.12.1883 00:00;47.7;42;
AIR;01.01.1884 00:00;40.4;38;
AIR;01.02.1884 00:00;18;22;
AIR;01.03.1884 00:00;0;0;
AIR;01.04.1884 00:00;91.3;60;
AIR;01.05.1884 00:00;137;74;
AIR;01.06.1884 00:00;89.1;51;
AIR;01.07.1884 00:00;46.6;35;
AIR;01.08.1884 00:00;33.3;19;
AIR;01.09.1884 00:00;402.1;212;
AIR;01.10.1884 00:00;44.8;21;
AIR;01.11.1884 00:00;6.4;3;
AIR;01.12.1884 00:00;76.4;66;
AIR;01.01.1885 00:00;74.7;70;
AIR;01.02.1885 00:00;99.9;122;
AIR;01.03.1885 00:00;85;86;
AIR;01.04.1885 00:00;203.4;134;
AIR;01.05.1885 00:00;75.5;41;
AIR;01.06.1885 00:00;61.5;35;
AIR;01.07.1885 00:00;100.3;75;
AIR;01.08.1885 00:00;151.7;87;
AIR;01.09.1885 00:00;461.1;243;
AIR;01.10.1885 00:00;382.6;176;
AIR;01.11.1885 00:00;240.4;110;
AIR;01.12.1885 00:00;15.9;14;
AIR;01.01.1886 00:00;94;88;
AIR;01.02.1886 00:00;21.8;27;
AIR;01.03.1886 00:00;14.2;14;
AIR;01.04.1886 00:00;84.4;56;
AIR;01.05.1886 00:00;476.1;259;
AIR;01.06.1886 00:00;31.2;18;
AIR;01.07.1886 00:00;211.9;159;
AIR;01.08.1886 00:00;79.5;45;
AIR;01.09.1886 00:00;38.8;20;
AIR;01.10.1886 00:00;446.8;206;
AIR;01.11.1886 00:00;529.9;242;
AIR;01.12.1886 00:00;317.6;276;
AIR;01.01.1887 00:00;84.4;79;
AIR;01.02.1887 00:00;8.6;11;
AIR;01.03.1887 00:00;34.6;35;
AIR;01.04.1887 00:00;182.9;121;
AIR;01.05.1887 00:00;250.1;136;
AIR;01.06.1887 00:00;107.5;61;
AIR;01.07.1887 00:00;103.3;78;
AIR;01.08.1887 00:00;103.8;59;
AIR;01.09.1887 00:00;188.5;99;
AIR;01.10.1887 00:00;70.4;32;
AIR;01.11.1887 00:00;185;84;
AIR;01.12.1887 00:00;96.6;84;
AIR;01.01.1888 00:00;24.4;23;
AIR;01.02.1888 00:00;276.5;338;
AIR;01.03.1888 00:00;404.9;408;
AIR;01.04.1888 00:00;215.6;142;
AIR;01.05.1888 00:00;46.1;25;
AIR;01.06.1888 00:00;184.2;105;
AIR;01.07.1888 00:00;390.5;294;
AIR;01.08.1888 00:00;262.7;150;
AIR;01.09.1888 00:00;146.2;77;
AIR;01.10.1888 00:00;276.6;127;
AIR;01.11.1888 00:00;168.7;77;
AIR;01.12.1888 00:00;113.1;98;
AIR;01.01.1889 00:00;41.4;39;
AIR;01.02.1889 00:00;48.9;60;
AIR;01.03.1889 00:00;73.2;74;
AIR;01.04.1889 00:00;242.5;160;
AIR;01.05.1889 00:00;162.8;88;
AIR;01.06.1889 00:00;149.2;85;
AIR;01.07.1889 00:00;74.7;56;
AIR;01.08.1889 00:00;104.3;60;
AIR;01.09.1889 00:00;32.9;17;
AIR;01.10.1889 00:00;832.3;383;
AIR;01.11.1889 00:00;24.9;11;
AIR;01.12.1889 00:00;76.8;67;
AIR;01.01.1890 00:00;134.7;126;
AIR;01.02.1890 00:00;8.2;10;
AIR;01.03.1890 00:00;155.3;157;
AIR;01.04.1890 00:00;167.8;111;
AIR;01.05.1890 00:00;303.6;165;
AIR;01.06.1890 00:00;126.7;72;
AIR;01.07.1890 00:00;171.8;129;
AIR;01.08.1890 00:00;468.1;268;
AIR;01.09.1890 00:00;170.1;90;
AIR;01.10.1890 00:00;88.3;41;
AIR;01.11.1890 00:00;55.1;25;
AIR;01.12.1890 00:00;48.8;42;
AIR;01.01.1891 00:00;16.5;15;
AIR;01.02.1891 00:00;0;0;
AIR;01.03.1891 00:00;194.7;196;
AIR;01.04.1891 00:00;80.5;53;
AIR;01.05.1891 00:00;278.3;151;
AIR;01.06.1891 00:00;146.6;84;
AIR;01.07.1891 00:00;359;270;
AIR;01.08.1891 00:00;179;102;
AIR;01.09.1891 00:00;116.7;62;
AIR;01.10.1891 00:00;345.3;159;
AIR;01.11.1891 00:00;199.5;91;
AIR;01.12.1891 00:00;138.2;120;
AIR;01.01.1892 00:00;42.8;40;
AIR;01.02.1892 00:00;266.4;325;
AIR;01.03.1892 00:00;98.1;99;
AIR;01.04.1892 00:00;35.8;24;
AIR;01.05.1892 00:00;3.1;2;
AIR;01.06.1892 00:00;127;73;
AIR;01.07.1892 00:00;107.9;81;
AIR;01.08.1892 00:00;163.2;93;
AIR;01.09.1892 00:00;174.5;92;
AIR;01.10.1892 00:00;532.2;245;
AIR;01.11.1892 00:00;53.4;24;
AIR;01.12.1892 00:00;15.2;13;
AIR;01.01.1893 00:00;51.1;48;
AIR;01.02.1893 00:00;128.8;157;
AIR;01.03.1893 00:00;6.9;7;
AIR;01.04.1893 00:00;6.9;5;
AIR;01.05.1893 00:00;57.8;31;
AIR;01.06.1893 00:00;140.1;80;
AIR;01.07.1893 00:00;167;126;
AIR;01.08.1893 00:00;16.7;10;
AIR;01.09.1893 00:00;315.3;166;
AIR;01.10.1893 00:00;177.7;82;
AIR;01.11.1893 00:00;35.1;16;
AIR;01.12.1893 00:00;76.7;67;
AIR;01.01.1894 00:00;73.4;69;
AIR;01.02.1894 00:00;18;22;
AIR;01.03.1894 00:00;37.3;38;
AIR;01.04.1894 00:00;87.4;58;
AIR;01.05.1894 00:00;124.6;68;
AIR;01.06.1894 00:00;43.6;25;
AIR;01.07.1894 00:00;260.6;196;
AIR;01.08.1894 00:00;149.9;86;
AIR;01.09.1894 00:00;53.9;28;
AIR;01.10.1894 00:00;133.2;61;
AIR;01.11.1894 00:00;219.5;100;
AIR;01.12.1894 00:00;19.9;17;
AIR;01.01.1895 00:00;307.3;287;
AIR;01.02.1895 00:00;22.1;27;
AIR;01.03.1895 00:00;136.2;137;
AIR;01.04.1895 00:00;52.4;35;
AIR;01.05.1895 00:00;102.3;56;
AIR;01.06.1895 00:00;180.3;103;
AIR;01.07.1895 00:00;61.6;46;
AIR;01.08.1895 00:00;121.1;69;
AIR;01.09.1895 00:00;11.4;6;
AIR;01.10.1895 00:00;276;127;
AIR;01.11.1895 00:00;186.3;85;
AIR;01.12.1895 00:00;134.7;117;
