station_abbr;reference_timestamp;kabetuh0;khpoach0;kaalnuh0;kacoryh0;kafaguh0;kafraxh0;kaquerh0
PLS;01.01.2024 00:00;0;0;0;0;0;0;0
PLS;01.01.2024 01:00;0;0;0;0;0;0;0
PLS;01.01.2024 02:00;0;0;0;0;0;0;0
PLS;01.01.2024 03:00;0;0;0;0;0;0;0
PLS;01.01.2024 04:00;0;0;0;0;0;0;0
PLS;01.01.2024 05:00;0;0;0;0;0;0;0
PLS;01.01.2024 06:00;0;0;0;0;0;0;0
PLS;01.01.2024 07:00;0;0;0;0;0;0;0
PLS;01.01.2024 08:00;0;0;0;0;0;0;0
PLS;01.01.2024 09:00;0;0;0;0;0;0;0
PLS;01.01.2024 10:00;0;0;0;0;0;0;0
PLS;01.01.2024 11:00;0;0;0;0;0;0;0
PLS;01.01.2024 12:00;0;0;0;0;0;0;0
PLS;01.01.2024 13:00;0;0;0;0;0;0;0
PLS;01.01.2024 14:00;0;0;0;0;0;0;0
PLS;01.01.2024 15:00;0;0;0;0;0;0;0
PLS;01.01.2024 16:00;0;0;0;0;0;0;0
PLS;01.01.2024 17:00;0;0;0;0;0;0;0
PLS;01.01.2024 18:00;0;0;0;0;0;0;0
PLS;01.01.2024 19:00;0;0;0;0;0;0;0
PLS;01.01.2024 20:00;0;0;0;0;0;0;0
PLS;01.01.2024 21:00;0;0;0;0;0;0;0
PLS;01.01.2024 22:00;0;0;0;0;0;0;0
PLS;01.01.2024 23:00;0;0;0;0;0;0;0
PLS;02.01.2024 00:00;0;0;0;0;0;0;0
PLS;02.01.2024 01:00;0;0;0;0;0;0;0
PLS;02.01.2024 02:00;0;0;0;0;0;0;0
PLS;02.01.2024 03:00;0;0;0;0;0;0;0
PLS;02.01.2024 04:00;0;0;0;0;0;0;0
PLS;02.01.2024 05:00;0;0;0;0;0;0;0
PLS;02.01.2024 06:00;0;0;0;0;0;0;0
PLS;02.01.2024 07:00;0;0;0;0;0;0;0
PLS;02.01.2024 08:00;0;0;0;0;0;0;0
PLS;02.01.2024 09:00;0;0;0;0;0;0;0
PLS;02.01.2024 10:00;0;0;0;0;0;0;0
PLS;02.01.2024 11:00;0;0;0;0;0;0;0
PLS;02.01.2024 12:00;0;0;0;0;0;0;0
PLS;02.01.2024 13:00;0;0;0;0;0;0;0
PLS;02.01.2024 14:00;0;0;0;0;0;0;0
PLS;02.01.2024 15:00;0;0;0;0;0;0;0
PLS;02.01.2024 16:00;0;0;0;0;0;0;0
PLS;02.01.2024 17:00;0;0;0;0;0;0;0
PLS;02.01.2024 18:00;0;0;0;0;0;0;0
PLS;02.01.2024 19:00;0;0;0;0;0;0;0
PLS;02.01.2024 20:00;0;0;0;0;0;0;0
PLS;02.01.2024 21:00;0;0;0;0;0;0;0
PLS;02.01.2024 22:00;0;0;0;0;0;0;0
PLS;02.01.2024 23:00;0;0;0;0;0;0;0
PLS;03.01.2024 00:00;0;0;0;0;0;0;0
PLS;03.01.2024 01:00;0;0;0;0;0;0;0
PLS;03.01.2024 02:00;0;0;0;0;0;0;0
PLS;03.01.2024 03:00;0;0;0;0;0;0;0
PLS;03.01.2024 04:00;0;0;0;0;0;0;0
PLS;03.01.2024 05:00;0;0;0;0;0;0;0
PLS;03.01.2024 06:00;0;0;0;0;0;0;0
PLS;03.01.2024 07:00;0;0;0;0;0;0;0
PLS;03.01.2024 08:00;0;0;0;0;0;0;0
PLS;03.01.2024 09:00;0;0;0;0;0;0;0
PLS;03.01.2024 10:00;0;0;0;0;0;0;0
PLS;03.01.2024 11:00;0;0;0;0;0;0;0
PLS;03.01.2024 12:00;0;0;0;0;0;0;0
PLS;03.01.2024 13:00;0;0;0;0;0;0;0
PLS;03.01.2024 14:00;0;0;0;0;0;0;0
PLS;03.01.2024 15:00;0;0;0;0;0;0;0
PLS;03.01.2024 16:00;0;0;0;0;0;0;0
PLS;03.01.2024 17:00;0;0;0;0;0;0;0
PLS;03.01.2024 18:00;0;0;0;0;0;0;0
PLS;03.01.2024 19:00;0;0;0;0;0;0;0
PLS;03.01.2024 20:00;0;0;0;0;0;0;0
PLS;03.01.2024 21:00;0;0;0;0;0;0;0
PLS;03.01.2024 22:00;0;0;0;0;0;0;0
PLS;03.01.2024 23:00;0;0;0;0;0;0;0
PLS;04.01.2024 00:00;0;0;0;0;0;0;0
PLS;04.01.2024 01:00;0;0;0;0;0;0;0
PLS;04.01.2024 02:00;0;0;0;0;0;0;0
PLS;04.01.2024 03:00;0;0;0;0;0;0;0
PLS;04.01.2024 04:00;0;0;0;0;0;0;0
PLS;04.01.2024 05:00;0;0;0;0;0;0;0
PLS;04.01.2024 06:00;0;0;0;0;0;0;0
PLS;04.01.2024 07:00;0;0;0;0;0;0;0
PLS;04.01.2024 08:00;0;0;0;0;0;0;0
PLS;04.01.2024 09:00;0;0;0;0;0;0;0
PLS;04.01.2024 10:00;0;0;0;0;0;0;0
PLS;04.01.2024 11:00;0;0;0;0;0;0;0
PLS;04.01.2024 12:00;0;0;0;0;0;0;0
PLS;04.01.2024 13:00;0;0;0;0;0;0;0
PLS;04.01.2024 14:00;0;0;0;0;0;0;0
PLS;04.01.2024 15:00;0;0;0;0;0;0;0
PLS;04.01.2024 16:00;0;0;0;0;0;0;0
PLS;04.01.2024 17:00;0;0;0;0;0;0;0
PLS;04.01.2024 18:00;0;0;0;0;0;0;0
PLS;04.01.2024 19:00;0;0;0;0;0;0;0
PLS;04.01.2024 20:00;0;0;0;0;0;0;0
PLS;04.01.2024 21:00;0;0;0;8;0;0;0
PLS;04.01.2024 22:00;0;0;0;0;0;0;0
PLS;04.01.2024 23:00;0;0;0;0;0;0;0
PLS;05.01.2024 00:00;0;0;0;0;0;0;0
PLS;05.01.2024 01:00;0;0;0;0;0;0;0
PLS;05.01.2024 02:00;0;0;0;0;0;0;0
PLS;05.01.2024 03:00;0;0;0;0;0;0;0
PLS;05.01.2024 04:00;0;0;0;8;0;0;0
PLS;05.01.2024 05:00;0;0;0;0;0;0;0
PLS;05.01.2024 06:00;0;0;0;0;0;0;0
PLS;05.01.2024 07:00;0;0;0;0;0;0;0
PLS;05.01.2024 08:00;0;0;0;0;0;0;0
PLS;05.01.2024 09:00;0;0;0;0;0;0;0
PLS;05.01.2024 10:00;0;0;0;0;0;0;0
PLS;05.01.2024 11:00;0;0;0;0;0;0;0
PLS;05.01.2024 12:00;0;0;0;0;0;0;0
PLS;05.01.2024 13:00;0;0;0;0;0;0;0
PLS;05.01.2024 14:00;0;0;0;0;0;0;0
PLS;05.01.2024 15:00;0;0;0;0;0;0;0
PLS;05.01.2024 16:00;0;0;0;0;0;0;0
PLS;05.01.2024 17:00;0;0;0;0;0;0;0
PLS;05.01.2024 18:00;0;0;0;0;0;0;0
