station_abbr;reference_timestamp;ths200dn;ths200dx;ths200d0;th9120dv;th91dndv;th91dxdv
OTL;01.12.1882 00:00;;;1.1;-4.5;;
OTL;02.12.1882 00:00;;;0.9;-4.6;;
OTL;03.12.1882 00:00;;;0.3;-5;;
OTL;04.12.1882 00:00;;;1.3;-3.9;;
OTL;05.12.1882 00:00;;;0.1;-5;;
OTL;06.12.1882 00:00;;;0.1;-4.9;;
OTL;07.12.1882 00:00;;;1.2;-3.7;;
OTL;08.12.1882 00:00;;;2.1;-2.7;;
OTL;09.12.1882 00:00;;;0.7;-4.1;;
OTL;10.12.1882 00:00;;;0.9;-3.8;;
OTL;11.12.1882 00:00;;;3;-1.6;;
OTL;12.12.1882 00:00;;;3.4;-1.1;;
OTL;13.12.1882 00:00;;;3.2;-1.2;;
OTL;14.12.1882 00:00;;;3.6;-0.8;;
OTL;15.12.1882 00:00;;;4.9;0.6;;
OTL;16.12.1882 00:00;;;5.6;1.4;;
OTL;17.12.1882 00:00;;;6.2;2;;
OTL;18.12.1882 00:00;;;6.1;2;;
OTL;19.12.1882 00:00;;;7;2.9;;
OTL;20.12.1882 00:00;;;5.6;1.6;;
OTL;21.12.1882 00:00;;;2.4;-1.6;;
OTL;22.12.1882 00:00;;;3.3;-0.6;;
OTL;23.12.1882 00:00;;;3.1;-0.8;;
OTL;24.12.1882 00:00;;;3.4;-0.5;;
OTL;25.12.1882 00:00;;;4.3;0.4;;
OTL;26.12.1882 00:00;;;5.6;1.8;;
OTL;27.12.1882 00:00;;;9.8;6;;
OTL;28.12.1882 00:00;;;5.9;2.1;;
OTL;29.12.1882 00:00;;;5.1;1.3;;
OTL;30.12.1882 00:00;;;6;2.2;;
OTL;31.12.1882 00:00;;;15;11.2;;
OTL;01.01.1883 00:00;;;5;1.2;;
OTL;02.01.1883 00:00;;;4.6;0.8;;
OTL;03.01.1883 00:00;;;4.7;0.9;;
OTL;04.01.1883 00:00;;;4.8;1;;
OTL;05.01.1883 00:00;;;4.6;0.8;;
